Grouping,Politician,Usernames,Party,State,AccountID,AccountID_1,AccountID_2
37,"Lynch, Stephen F.",RepStephenLynch,D,MA,310310133,3103,10133
37,"Lynch, Stephen F.",RepLynch,D,MA,130901013,13090,1013
38,"Pingree, Chellie",chelliepingree,D,ME,14984637,149,84637
38,"Pingree, Chellie",PingreeForME,D,ME,1002275817227980800,10022758172279,80800
38,"Payne Jr., Donald",RepDonaldPayne,D,NJ,1155335864,11553,35864
38,"Payne Jr., Donald",DonaldPayneJr,D,NJ,571909015,57190,9015
38,"Turner, Mike",RepMikeTurner,R,OH,51228911,512,28911
38,"Turner, Mike",MikeTurnerOH,R,OH,380498919,3804,98919
38,"Finstad, Brad",RepFinstad,R,MN,1563316176717246464,15633161767172,46464
38,"Finstad, Brad",BradFinstad,R,MN,3221588438,32215,88438
38,"Burgess, Michael",michaelcburgess,R,TX,15751083,157,51083
38,"Burgess, Michael",DrBurgessTX,R,TX,1272912622942388229,12729126229423,88229
38,"Carter, Troy",RepTroyCarter,D,LA,1352760304271241218,13527603042712,41218
38,"Carter, Troy",troyc4Congress,D,LA,18582998,185,82998
38,"Thompson, Glenn",CongressmanGT,R,PA,18967498,189,67498
38,"Thompson, Glenn",GT_TeamGT,R,PA,304138251,3041,38251
38,"Weber, Randy",TXRandy14,R,TX,1058051748,10580,51748
38,"Weber, Randy",WeberforTexas,R,TX,373586796,3735,86796
38,"Britt, Katie Boyd",SenKatieBritt,R,AL,1597271188383866883,15972711883838,66883
38,"Britt, Katie Boyd",KatieBrittforAL,R,AL,1400915708259696640,14009157082596,96640
38,"Britt, Katie Boyd",KatieBoydBritt,R,AL,346559263,3465,59263
39,"Kaptur, Marcy",RepMarcyKaptur,D,OH,581141508,5811,41508
39,"Kaptur, Marcy",Marcy_Kaptur,D,OH,480872337,4808,72337
39,"Goldman, Daniel S.",RepDanGoldman,D,NY,1610019555371372544,16100195553713,72544
39,"Goldman, Daniel S.",danielsgoldman,D,NY,435232010,4352,32010
39,"Hyde-Smith, Cindy",SenHydeSmith,R,MS,983348251972816896,9833482519728,16896
39,"Hyde-Smith, Cindy",cindyhydesmith,R,MS,262192574,2621,92574
39,"Scholten, Hillary J.",RepScholten,D,MI,1609941568869335041,16099415688693,35041
39,"Scholten, Hillary J.",HillaryScholten,D,MI,1106949340197801986,110694934019780,1986
39,"Cornyn, John",JohnCornyn,R,TX,13218102,132,18102
39,"Cornyn, John",TeamCornyn,R,TX,1648117711,16481,17711
39,"Pressley, Ayanna",RepPressley,D,MA,1080584229510172678,10805842295101,72678
39,"Pressley, Ayanna",AyannaPressley,D,MA,31013444,310,13444
39,"Magaziner, Seth",Rep_Magaziner,D,RI,1615455207713808384,161545520771380,8384
39,"Magaziner, Seth",SethMagaziner,D,RI,1434052620,14340,52620
39,"Johnson, Dusty",RepDustyJohnson,R,SD,1074782372594413569,10747823725944,13569
39,"Johnson, Dusty",DustyJohnson,R,SD,140529899,1405,29899
39,"Good, Bob",RepBobGood,R,VA,1345536897838436353,13455368978384,36353
39,"Good, Bob",GoodForCongress,R,VA,1191470062340845568,11914700623408,45568
40,"Merkley, Jeff",SenJeffMerkley,D,OR,29201047,2920,1047
40,"Merkley, Jeff",JeffMerkley,D,OR,223166587,2231,66587
40,"Romney, Mitt",SenatorRomney,R,UT,1078693601356509184,107869360135650,9184
40,"Romney, Mitt",MittRomney,R,UT,50055701,500,55701
40,"Biden, Joseph",POTUS,D,DE,1349149096909668363,13491490969096,68363
40,"Biden, Joseph",JoeBiden,D,DE,939091,9,39091
40,"Calvert, Ken",KenCalvert,R,CA,22545491,225,45491
40,"Calvert, Ken",TeamCalvert,R,CA,138553197,1385,53197
40,"Norcross, Donald",DonaldNorcross,D,NJ,3122099613,31220,99613
40,"Norcross, Donald",DonNorcross4NJ,D,NJ,2340948996,23409,48996
40,"Timmons, William",RepTimmons,R,SC,1079770852302958592,10797708523029,58592
40,"Timmons, William",VoteTimmons,R,SC,958510641228275712,9585106412282,75712
40,"Cartwright, Matt",RepCartwright,D,PA,776664410,7766,64410
40,"Cartwright, Matt",CartwrightPA,D,PA,472315803,4723,15803
40,"Cline, Ben",RepBenCline,R,VA,1072158357237174272,10721583572371,74272
40,"Cline, Ben",Cline4Virginia,R,VA,40264497,402,64497
40,"Diaz-Balart, Mario",MarioDB,R,FL,37094727,370,94727
40,"Diaz-Balart, Mario",MarioDBCamp,R,FL,374816353,3748,16353
41,"Castor, Kathy",USRepKCastor,D,FL,1880674038,18806,74038
41,"Castor, Kathy",KathyCastorFL,D,FL,756123897783808000,75612389778380,8000
41,"Ciscomani, Juan",RepCiscomani,R,AZ,1603530970593775616,16035309705937,75616
41,"Ciscomani, Juan",JuanCiscomani,R,AZ,62874548,628,74548
41,"Duarte, John S.",RepDuarteCA13,R,CA,1613250027878490137,16132500278784,90137
41,"Duarte, John S.",Duarte4Congress,R,CA,1514403098034262016,15144030980342,62016
41,"Cohen, Steve",RepCohen,D,TN,162069635,1620,69635
41,"Cohen, Steve",ReElectCohen,D,TN,34884583,348,84583
41,"Fitzpatrick, Brian",RepBrianFitz,R,PA,816303263586914304,8163032635869,14304
41,"Fitzpatrick, Brian",BrianFitzUSA,R,PA,4905487413,49054,87413
41,"Crane, Elijah",EliCraneAZ,R,AZ,1415011405544177667,14150114055441,77667
41,"Crane, Elijah",EliCrane_CEO,R,AZ,1006602338935508992,100660233893550,8992
41,"Clark, Katherine",WhipKClark,D,MA,2293131060,22931,31060
41,"Clark, Katherine",TeamKClark,D,MA,23201727,2320,1727
41,"Latta, Robert E.",boblatta,R,OH,15394954,153,94954
41,"Latta, Robert E.",latta4congress,R,OH,93575832,935,75832
41,"Reschenthaler, Guy",GReschenthaler,R,PA,4205133682,42051,33682
41,"Reschenthaler, Guy",reschenthaler,R,PA,477223342,4772,23342
42,"Hill, French",RepFrenchHill,R,AR,2953974395,29539,74395
42,"Hill, French",ElectFrench,R,AR,1740229652,17402,29652
42,"Edwards, Chuck",RepEdwards,R,NC,1602748099792879616,16027480997928,79616
42,"Edwards, Chuck",ChuckEdwards4NC,R,NC,838404430793953280,8384044307939,53280
42,"Veasey, Marc",RepVeasey,R,TX,1074129612,10741,29612
42,"Veasey, Marc",MarcVeasey,R,TX,20688358,206,88358
42,"Issa, Darrell",repdarrellissa,R,CA,63650107,636,50107
42,"Issa, Darrell",DarrellIssa,R,CA,22509548,2250,9548
42,"Kim, Young",RepYoungKim,R,CA,1344677401465397249,13446774014653,97249
42,"Kim, Young",YoungKimCA,R,CA,2355919591,23559,19591
42,"Trahan, Lori",RepLoriTrahan,D,MA,1079802482640019456,10798024826400,19456
42,"Trahan, Lori",LoriTrahanMA,D,MA,915975047545749504,9159750475457,49504
42,"Ossoff, Jon",ossoff,D,GA,521747968,5217,47968
42,"Ossoff, Jon",SenOssoff,D,GA,1356714265894408196,135671426589440,8196
42,"Schiff, Adam",RepAdamSchiff,D,CA,29501253,2950,1253
42,"Schiff, Adam",AdamSchiff,D,CA,133028836,1330,28836
42,"Johnson, Ron",SenRonJohnson,R,WI,233737858,2337,37858
42,"Johnson, Ron",RonJohnsonWI,R,WI,142332083,1423,32083
43,"Schumer, Charles E.",SenSchumer,D,NY,17494010,174,94010
43,"Schumer, Charles E.",chuckschumer,D,NY,1872999342,18729,99342
43,"Luetkemeyer, Blaine",RepBlaine,R,MO,1849261916,18492,61916
43,"Luetkemeyer, Blaine",LuetkemeyerB,R,MO,2554870803,25548,70803
43,"Bice, Stephanie I.",RepBice,R,OK,1344260196227555334,13442601962275,55334
43,"Bice, Stephanie I.",stephaniebice,R,OK,32289500,322,89500
43,"Wagner, Ann",RepAnnWagner,R,MO,1051446626,10514,46626
43,"Wagner, Ann",AnnLWagner,R,MO,219010139,2190,10139
43,"Daines, Steve",SteveDaines,R,MT,11651202,116,51202
43,"Daines, Steve",DainesforMT,R,MT,214767677,2147,67677
43,"Kamlager-Dove, Sydney",RepKamlagerDove,D,CA,1613235716669988871,16132357166699,88871
43,"Kamlager-Dove, Sydney",sydneykamlager,D,CA,993539467817373696,9935394678173,73696
43,"Booker, Cory A.",CoryBooker,D,NJ,15808765,1580,8765
43,"Booker, Cory A.",SenBooker,D,NJ,2167097881,21670,97881
43,"Stefanik, Elise",RepStefanik,R,NY,2962813893,29628,13893
43,"Stefanik, Elise",EliseStefanik,R,NY,109579534,1095,79534
43,"Pettersen, Brittany",RepPettersen,D,CO,1610014478405406720,161001447840540,6720
43,"Pettersen, Brittany",pettersen4co,D,CO,483010877,4830,10877
44,"Omar, Ilhan",Ilhan,D,MN,1082334352711790593,10823343527117,90593
44,"Omar, Ilhan",IlhanMN,D,MN,783792992,7837,92992
44,"Obernolte, Jay",JayObernolte,R,CA,272482466,2724,82466
44,"Obernolte, Jay",TeamObernolte,R,CA,1291597452357771264,12915974523577,71264
44,"Sasse, Ben",SenSasse,R,NE,2962923040,29629,23040
44,"Fleischmann, Chuck",RepChuck,R,TN,235190657,2351,90657
44,"Fleischmann, Chuck",chuck4congress,R,TN,50036176,500,36176
44,"Clyde, Andrew S.",Rep_Clyde,R,GA,1357017361568694274,13570173615686,94274
44,"Moore, Barry",RepBarryMoore,R,AL,1339006078688825344,13390060786888,25344
44,"Burlison, Eric",RepEricBurlison,R,MO,1606342594765590528,16063425947655,90528
44,"Burlison, Eric",EricBurlison,R,MO,17993908,179,93908
44,"Carl, Jerry L.",RepJerryCarl,R,AL,1341091420439015424,13410914204390,15424
44,"Carl, Jerry L.",CarlForAlabama,R,AL,2237925464,22379,25464
44,"Swalwell, Eric",RepSwalwell,D,CA,942156122,9421,56122
44,"Swalwell, Eric",ericswalwell,D,CA,377609596,37760,9596
45,"Takano, Mark",RepMarkTakano,D,CA,1037321378,10373,21378
45,"Takano, Mark",MarkTakano,D,CA,316165422,3161,65422
45,"Luna, Anna Paulina",RepLuna,R,FL,1610230835289923584,16102308352899,23584
45,"Luna, Anna Paulina",VoteAPL,R,FL,1386669755654934531,13866697556549,34531
45,"Luna, Anna Paulina",realannapaulina,R,FL,913308968809672705,9133089688096,72705
45,"Bean, Aaron",RepAaronBean,R,FL,1604927550081359875,16049275500813,59875
45,"Bean, Aaron",AaronPBean,R,FL,24317646,243,17646
45,"LaLota, Nick",RepLaLota,R,NY,1588581125177442305,15885811251774,42305
45,"LaLota, Nick",nicklalota,R,NY,275989559,2759,89559
45,"Ocasio-Cortez, Alexandria",RepAOC,D,NY,1079104563280527364,10791045632805,27364
45,"Ocasio-Cortez, Alexandria",AOC,D,NY,138203134,13820,3134
45,"Rutherford, John",RepRutherfordFL,R,FL,828977216595849216,8289772165958,49216
45,"Rutherford, John",JRutherfordFL,R,FL,733672650120253440,7336726501202,53440
45,"Lieu, Ted",RepTedLieu,D,CA,3044993235,30449,93235
45,"Lieu, Ted",tedlieu,D,CA,21059255,210,59255
45,"Lofgren, Zoe",RepZoeLofgren,D,CA,267938462,2679,38462
45,"Lofgren, Zoe",ZoeLofgren,D,CA,988858472132415489,9888584721324,15489
45,"Fletcher, Lizzie",RepFletcher,D,TX,1075904377221722113,10759043772217,22113
45,"Fletcher, Lizzie",Lizzie4Congress,D,TX,857009033882083329,8570090338820,83329
46,"Ogles, Andrew",RepOgles,R,TN,1603110823014141952,16031108230141,41952
46,"Ogles, Andrew",AndyOgles,R,TN,48375550,483,75550
46,"Ogles, Andrew",OglesRep,R,TN,1612855392471584774,16128553924715,84774
46,"Frankel, Lois",RepLoisFrankel,D,FL,1077121945,10771,21945
46,"Frankel, Lois",LoisFrankel,D,FL,349296252,3492,96252
46,"Ruiz, Raul",RepRaulRuizMD,D,CA,1089859058,10898,59058
46,"Ruiz, Raul",Dr_RaulRuiz,D,CA,409522947,4095,22947
46,"Connolly, Gerald E. ""Gerry""",GerryConnolly,D,VA,78445977,784,45977
46,"Connolly, Gerald E. ""Gerry""",ElectConnolly,D,VA,125706625,12570,6625
46,"Garbarino, Andrew R.",RepGarbarino,R,NY,1344349650447433729,13443496504474,33729
46,"Garbarino, Andrew R.",GarbarinoforNY,R,NY,1222594021547290624,12225940215472,90624
46,"Lee, Laurel M.",RepLaurelLee,R,FL,1608230657796227072,16082306577962,27072
46,"Lee, Laurel M.",Vote_Laurel,R,FL,1539230869008830464,15392308690088,30464
46,"Mooney, Alex",RepAlexMooney,R,WV,2964526557,29645,26557
46,"Mooney, Alex",alexmooney,R,WV,17325909,173,25909
46,"Upton, Fred",RepFredUpton,R,MI,124224165,1242,24165
46,"McCollum, Betty",BettyMcCollum04,D,MN,516880804,5168,80804
46,"McCollum, Betty",VoteBetty,D,MN,164414525,1644,14525
47,"Allred, Colin",RepColinAllred,D,TX,1078355119920562176,10783551199205,62176
47,"Allred, Colin",ColinAllredTX,D,TX,346964561,3469,64561
47,"Padilla, Alex",SenAlexPadilla,D,CA,1351236267707654145,13512362677076,54145
47,"Jordan, Jim",Jim_Jordan,R,OH,18166778,181,66778
47,"Simpson, Mike",CongMikeSimpson,R,ID,76132891,761,32891
47,"Simpson, Mike",MikeSimpson4ID,R,ID,314223728,3142,23728
47,"Rubio, Marco",marcorubio,R,FL,15745368,157,45368
47,"Rubio, Marco",TeamMarco,R,FL,3001665106,30016,65106
47,"Rubio, Marco",SenMarcoRubio,R,FL,229966028,2299,66028
47,"Harder, Josh",RepJoshHarder,D,CA,1080851152151953410,10808511521519,53410
47,"Harder, Josh",JoshHarder,D,CA,438665212,4386,65212
47,"Loudermilk, Barry",RepLoudermilk,R,GA,2914163523,29141,63523
47,"Loudermilk, Barry",standwithbarry,R,GA,586191770,5861,91770
47,"Sherman, Brad",BradSherman,D,CA,30216513,302,16513
47,"Sherman, Brad",BradSherman4SFV,D,CA,494291143,4942,91143
47,"Stanton, Greg",RepGregStanton,D,AZ,1080885078425784320,10808850784257,84320
47,"Stanton, Greg",gregstantonaz,D,AZ,218292287,2182,92287
48,"Langworthy, Nicholas A.",RepLangworthy,R,NY,1611396007111057408,16113960071110,57408
48,"Langworthy, Nicholas A.",NickLangworthy,R,NY,18785472,187,85472
48,"Pelosi, Nancy",SpeakerPelosi,D,CA,15764644,157,64644
48,"Pelosi, Nancy",TeamPelosi,D,CA,2461810448,24618,10448
48,"Wilson, Joe",RepJoeWilson,R,SC,254082173,2540,82173
48,"Wilson, Joe",TeamJoeWilson,R,SC,15116570,151,16570
48,"Johnson, Henry C. ""Hank"" Jr.",RepHankJohnson,D,GA,24745957,247,45957
48,"Johnson, Henry C. ""Hank"" Jr.",ReElectHank,D,GA,97583689,975,83689
48,"Emmer, Tom",GOPMajorityWhip,R,MN,2914515430,29145,15430
48,"Emmer, Tom",tomemmer,R,MN,72431423,724,31423
48,"Strickland, Marilyn",RepStricklandWA,D,WA,1343646545955213312,13436465459552,13312
48,"Strickland, Marilyn",StricklandforWA,D,WA,1206654366758785024,12066543667587,85024
48,"Strickland, Marilyn",Mstrickland747,D,WA,738738874571100164,738738874571100,164
48,"Wild, Susan",RepSusanWild,D,PA,1069636653353000962,1069636653353000,962
48,"Wild, Susan",wildforcongress,D,PA,533324996,5333,24996
48,"Sykes, Emilia Strong",RepEmiliaSykes,D,OH,1611527835742519297,16115278357425,19297
48,"Sykes, Emilia Strong",EmiliaSykesOH,D,OH,1871673438,18716,73438
48,"Green, Al",RepAlGreen,D,TX,156333623,1563,33623
48,"Green, Al",RepAlGreenTX,D,TX,327625079,3276,25079
49,"Larsen, Rick",RepRickLarsen,D,WA,404132211,4041,32211
49,"Larsen, Rick",larsenrick,D,WA,158520264,1585,20264
49,"Cassidy, Bill",SenBillCassidy,R,LA,1017500185356853248,10175001853568,53248
49,"Cassidy, Bill",BillCassidy,R,LA,55677432,556,77432
49,"Flood, Mike",USRepMikeFlood,R,NE,1547025742529167360,15470257425291,67360
49,"Flood, Mike",Flood4Nebraska,R,NE,1487156409028558849,14871564090285,58849
49,"Gosar, Paul A.",RepGosar,R,AZ,240760644,2407,60644
49,"Gosar, Paul A.",DrPaulGosar,R,AZ,872148729184362497,8721487291843,62497
49,"Boozman, John",JohnBoozman,R,AR,5558312,55,58312
49,"Boozman, John",Boozman4AR,R,AR,111671288,1116,71288
49,"Menendez, Robert",RepMenendez,D,NJ,1603468242852397057,16034682428523,97057
49,"Menendez, Robert",RobMenendez4NJ,D,NJ,1491892268466413568,14918922684664,13568
49,"Nadler, Jerrold",RepJerryNadler,D,NY,40302336,4030,2336
49,"Nadler, Jerrold",JerryNadler,D,NY,408816873,4088,16873
49,"DeLauro, Rosa L.",rosadelauro,D,CT,140519774,1405,19774
49,"DeLauro, Rosa L.",Rosa_DeLauro,D,CT,893496121,8934,96121
49,"Cotton, Tom",SenTomCotton,R,AR,968650362,9686,50362
49,"Cotton, Tom",TomCottonAR,R,AR,343041182,3430,41182
50,"Hoyer, Steny H.",RepStenyHoyer,D,MD,22012091,220,12091
50,"Hoyer, Steny H.",StenyHoyer,D,MD,266719387,2667,19387
50,"Palmer, Gary",USRepGaryPalmer,R,AL,2861616083,28616,16083
50,"Palmer, Gary",Palmer4Alabama,R,AL,2296943622,22969,43622
50,"Kilmer, Derek",RepDerekKilmer,D,WA,1058917562,10589,17562
50,"Kilmer, Derek",DerekKilmer,D,WA,120518554,1205,18554
50,"Sablan, Gregorio",Kilili_Sablan,D,MP,926446070812602371,92644607081260,2371
50,"Wilson, Frederica",RepWilson,D,FL,234014087,2340,14087
50,"Fischbach, Michelle",RepFischbach,R,MN,1344375287484723205,13443752874847,23205
50,"Fischbach, Michelle",FischbachMN7,R,MN,1159929043816460288,11599290438164,60288
50,"Fischbach, Michelle",michellefischb,R,MN,1905462938,19054,62938
50,"Porter, Katie",RepKatiePorter,D,CA,1081222837459996672,10812228374599,96672
50,"Porter, Katie",katieporteroc,D,CA,617266600,6172,66600
50,"Cammack, Kat",RepKatCammack,R,FL,1344325638983987201,13443256389839,87201
50,"Cammack, Kat",Kat_Cammack,R,FL,1214912699311837184,12149126993118,37184
50,"Cammack, Kat",KatCammack,R,FL,155253505,1552,53505
50,"Fulcher, Russ",RepRussFulcher,R,ID,1078741899572240384,10787418995722,40384
50,"Fulcher, Russ",RussFulcher,R,ID,172944579,1729,44579
51,"King, Angus S. Jr.",SenAngusKing,I,ME,1068481578,10684,81578
51,"Pfluger, August",RepPfluger,R,TX,1341120751399809026,134112075139980,9026
51,"Pfluger, August",AugustPfluger,R,TX,1021216905795899392,10212169057958,99392
51,"Matsui, Doris O.",DorisMatsui,D,CA,38254095,382,54095
51,"Matsui, Doris O.",Matsui4Congress,D,CA,169331127,1693,31127
51,"Casar, Greg",RepCasar,D,TX,1499512178013057032,14995121780130,57032
51,"Casar, Greg",GregCasar,D,TX,1683515731,16835,15731
51,"Feinstein, Dianne",SenFeinstein,D,CA,476256944,4762,56944
51,"Moylan, James C.",RepJamesMoylan,R,GU,1615622229001400320,1615622229001400,320
51,"Moylan, James C.",JMoylanforGuam,R,GU,1603050607367028736,16030506073670,28736
51,"Meng, Grace",RepGraceMeng,D,NY,1051127714,10511,27714
51,"Meng, Grace",Grace4NY,D,NY,571214272,5712,14272
51,"Sullivan, Dan",SenDanSullivan,R,AK,2891210047,28912,10047
51,"Sullivan, Dan",DanSullivan_AK,R,AK,1869975300,18699,75300
51,"Levin, Mike",RepMikeLevin,D,CA,1072134139560620033,10721341395606,20033
51,"Levin, Mike",MikeLevin,D,CA,14573926,145,73926
52,"Chu, Judy",RepJudyChu,D,CA,193732179,1937,32179
52,"Chu, Judy",JudyChuCampaign,D,CA,793208286,79320,8286
52,"Carbajal, Salud",RepCarbajal,D,CA,816157667882373120,8161576678823,73120
52,"Carbajal, Salud",carbajalsalud,D,CA,3237898542,32378,98542
52,"Thompson, Bennie G.",BennieGThompson,D,MS,82453460,824,53460
52,"Thompson, Bennie G.",BGThompsonMS,D,MS,1298346252673994752,12983462526739,94752
52,"Grothman, Glenn",RepGrothman,R,WI,2976606250,297660,6250
52,"Grothman, Glenn",GrothmanforWI,R,WI,2432952828,24329,52828
52,"Scalise, Steve",SteveScalise,R,LA,1209417007,12094,17007
52,"Scalise, Steve",SteveScaliseGOP,R,LA,2746741969,27467,41969
